0,	0,	0.996289
0,	1,	0.998794
0,	2,	0.998101
0,	3,	0.999878
0,	4,	0.999027
0,	5,	0.99942
0,	6,	1.00082
0,	7,	1.00236
0,	8,	1.00285
0,	9,	1.00336
0,	10,	1.00177
0,	11,	1.00381
0,	12,	0.997749
0,	13,	0.9993
0,	14,	0.997163
0,	15,	0.998483
0,	16,	0.995791
0,	17,	0.998969
0,	18,	0.999317
0,	19,	0.999232
0,	20,	0.998857
0,	21,	1.00049
0,	22,	0.999326
0,	23,	0.998051
0,	24,	0.998088
0,	25,	0.999617
0,	26,	0.995822
0,	27,	0.999542
0,	28,	0.995474
0,	29,	1.00138
0,	30,	0.993342
0,	31,	1.00138
0,	32,	0.995474
0,	33,	0.999542
0,	34,	0.995822
0,	35,	0.999617
0,	36,	0.998088
0,	37,	0.998051
0,	38,	0.999326
0,	39,	1.00049
0,	40,	0.998857
0,	41,	0.999232
0,	42,	0.999317
0,	43,	0.998969
0,	44,	0.995791
0,	45,	0.998483
0,	46,	0.997163
0,	47,	0.9993
0,	48,	0.997749
0,	49,	1.00381
0,	50,	1.00177
0,	51,	1.00336
0,	52,	1.00285
0,	53,	1.00236
0,	54,	1.00082
0,	55,	0.99942
0,	56,	0.999027
0,	57,	0.999878
0,	58,	0.998101
0,	59,	0.998794
0,	60,	0.996289
0,	61,	0.99665
0,	62,	0.999738
0,	63,	0.995509
0,	64,	1.00264
0,	65,	1.00285
0,	66,	1.00567
0,	67,	1.00277
0,	68,	1.00594
0,	69,	1.00301
0,	70,	1.00438
0,	71,	1.0011
0,	72,	0.995378
0,	73,	0.998324
0,	74,	0.995079
0,	75,	0.998177
0,	76,	0.996183
0,	77,	0.999178
0,	78,	0.999486
0,	79,	1.00065
0,	80,	0.999585
0,	81,	0.999585
0,	82,	1.00065
0,	83,	0.999486
0,	84,	0.999178
0,	85,	0.996183
0,	86,	0.998177
0,	87,	0.995079
0,	88,	0.998324
0,	89,	0.995378
0,	90,	1.0011
0,	91,	1.00438
0,	92,	1.00301
0,	93,	1.00594
0,	94,	1.00277
0,	95,	1.00567
0,	96,	1.00285
0,	97,	1.00264
0,	98,	0.995509
0,	99,	0.999738
0,	100,	0.99665
1,	0,	0.998794
1,	1,	0.994655
1,	2,	1.003
1,	3,	0.999759
1,	4,	1.00255
1,	5,	1.00267
1,	6,	0.998751
1,	7,	0.998086
1,	8,	0.996734
1,	9,	1.00282
1,	10,	1.0026
1,	11,	1.00029
1,	12,	1.00215
1,	13,	0.999999
1,	14,	0.997067
1,	15,	1.00147
1,	16,	0.998869
1,	17,	1.00239
1,	18,	1.00387
1,	19,	0.998707
1,	20,	1.00427
1,	21,	0.997839
1,	22,	1.00078
1,	23,	0.999358
1,	24,	0.996402
1,	25,	1.00407
1,	26,	0.994948
1,	27,	1.00161
1,	28,	0.999241
1,	29,	0.999844
1,	30,	0.998965
1,	31,	0.999844
1,	32,	0.999241
1,	33,	1.00161
1,	34,	0.994948
1,	35,	1.00407
1,	36,	0.996402
1,	37,	0.999358
1,	38,	1.00078
